"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"AGRN",123.56593301273,-2.12689239455485,3.33413372172917,-0.637914544546758,0.5235293093384,0.81831451603104,"FALSE"
"C1orf159",7.6106823048881,-1.65021596009498,2.63142397398089,-0.627118995803056,0.530581236231644,0.81831451603104,"FALSE"
"SDF4",297.484415229516,-1.66132693614332,2.75113641882549,-0.603869340965859,0.545930513778042,0.81831451603104,"FALSE"
"B3GALT6",27.1263206618645,-2.44064189165661,2.64596647991476,-0.922400911040733,0.356319494741295,0.81831451603104,"FALSE"
"UBE2J2",38.6639782120856,-1.359767825626,2.81497012465319,-0.48304875910309,0.629061115780516,0.81831451603104,"FALSE"
"SCNN1D",7.04580973525855,-1.23108020034154,2.66023924898357,-0.462770482321057,0.643528891247711,0.81831451603104,"FALSE"
"ACAP3",86.7825869045858,-2.72941443992193,3.16290249451695,-0.862946121372224,0.388167090842644,0.81831451603104,"FALSE"
"PUSL1",9.76530413571905,-2.10995235435965,2.54837951294114,-0.827958451103895,0.407694030567726,0.81831451603104,"FALSE"
"INTS11",77.3185864575577,-2.01419931290953,3.12731278430837,-0.64406711187189,0.519531915760637,0.81831451603104,"FALSE"
"CPTP",22.7389957434271,-1.37121768991563,2.64486291542615,-0.518445656263698,0.604147366899426,0.81831451603104,"FALSE"
"DVL1",72.8200878154097,-1.90549743021225,3.10005605356081,-0.614665476136648,0.538775663970166,0.81831451603104,"FALSE"
"MXRA8",738.322737521388,-1.60787875227756,3.44997900053137,-0.466054649036968,0.641176383853246,0.81831451603104,"FALSE"
"AURKAIP1",47.1637660000191,-1.98396727827364,2.88764005572287,-0.687054909887995,0.492048126866517,0.81831451603104,"FALSE"
"CCNL2",292.802618669301,-1.54065630248003,2.77987859901107,-0.554217116901477,0.579430265305213,0.81831451603104,"FALSE"
"AL391244.1",15.4063281254919,-1.95408922758621,2.55947857183332,-0.763471610620487,0.445182186939117,0.81831451603104,"FALSE"
"MRPL20",35.1142861535446,-1.59731415319542,2.76604660576747,-0.577471887084212,0.563620724453344,0.81831451603104,"FALSE"
"AL391244.3",9.17889877186386,-0.569947860897675,2.60386936790766,-0.218884967088675,0.826739657058004,0.915636394376068,"FALSE"
"ANKRD65",3.51721430991723,-3.71257440283016,3.31275199628536,-1.120691922303,0.262419021739217,0.794975271739393,"FALSE"
"VWA1",7.88974787117824,-2.71563093683047,2.5955474465007,-1.04626518790541,0.295438613266418,0.808352059088733,"FALSE"
"ATAD3B",16.5027231940753,-1.42167330983686,2.58463206940232,-0.550048622651974,0.58228602434321,0.81831451603104,"FALSE"
"ATAD3A",15.6355866662815,-1.43536983032769,2.57987638273351,-0.556371553278396,0.577956881355834,0.81831451603104,"FALSE"
"TMEM240",4.60433002175097,-1.76467133090204,2.90117145259083,-0.608261648695785,0.543013952684561,0.81831451603104,"FALSE"
"SSU72",128.054194691097,-1.39952720806806,3.36252797898656,-0.416212806797185,0.677254289202671,0.825310129137261,"FALSE"
"FNDC10",8.45820923984539,-3.95392404846145,2.61547530964638,-1.51174206610883,0.130599492675304,0.640559416455062,"FALSE"
"AL691432.2",3.78866611710621,-0.0705450979099673,3.49829533147443,-0.020165563860566,0.983911298354822,0.987903967303119,"FALSE"
"MIB2",59.250184716207,-2.63960906755527,2.97849597714467,-0.886222136209068,0.375497837454393,0.81831451603104,"FALSE"
"CDK11B",39.7762155171826,-1.61654395313544,2.81900831367445,-0.573444195000741,0.56634397370361,0.81831451603104,"FALSE"
"SLC35E2B",84.576761617755,-1.65602511503802,3.18583248316333,-0.5198092253092,0.603196548791436,0.81831451603104,"FALSE"
"SLC35E2A",27.5714428167665,-3.60020225979085,2.62521782420661,-1.37139182379234,0.17025284487751,0.668070266009616,"FALSE"
"NADK",91.9482939692351,-1.36865048611405,3.23690561286319,-0.422826813570081,0.672421622882795,0.825310129137261,"FALSE"
"GNB1",483.502550333815,-1.35287911420959,2.02294456913273,-0.668767268689716,0.503643949103665,0.81831451603104,"FALSE"
"FAAP20",43.82792640678,-1.95484075942296,2.85284062125816,-0.685226067259529,0.493201277078305,0.81831451603104,"FALSE"
"SKI",133.778463724468,-1.71550709731874,3.36100282870741,-0.510415249480317,0.60976057556494,0.81831451603104,"FALSE"
"MORN1",3.77474708198172,-1.37786350986359,3.10038863242493,-0.444416385563221,0.656741568986862,0.824931482995693,"FALSE"
"AL513477.1",2.97807805186221,-0.872976366031014,3.4328154514841,-0.254303319933381,0.79926123516055,0.90571683568481,"FALSE"
"RER1",130.447612023208,-1.70022149442059,3.35822585054228,-0.506285631190065,0.612656148551756,0.81831451603104,"FALSE"
"PEX10",10.5959379548255,-1.7976552938249,2.55742502201524,-0.702916127882553,0.482108019698048,0.81831451603104,"FALSE"
"PANK4",20.5569720033731,-2.6090679891845,2.58754508680733,-1.0083178849663,0.313301879646073,0.808352059088733,"FALSE"
"TNFRSF14",31.7861482668281,-2.70774232440846,2.68885518288125,-1.00702423159397,0.313923129743197,0.808352059088733,"FALSE"
"FAM213B",25.119723477036,-1.73301998982706,2.65186467178672,-0.653509965370675,0.513427567029726,0.81831451603104,"FALSE"
"PRDM16",3.27360057297722,-3.59656397585689,3.3982491141222,-1.05835795289714,0.289892281201427,0.808352059088733,"FALSE"
"MEGF6",28.8345118547156,-0.508687639558568,2.72885279038679,-0.186410802865796,0.852122621446028,0.932230565376984,"FALSE"
"TPRG1L",106.847179210665,-1.12370536301653,3.31492045093639,-0.338984111277574,0.734621699647281,0.867427685898796,"FALSE"
"WRAP73",21.0967229797394,-1.8891157417926,2.61133649036017,-0.723428692076389,0.469416548925141,0.81831451603104,"FALSE"
"TP73-AS1",51.0121332176869,-1.63412186362669,2.94381984484569,-0.555102536756067,0.578824527754598,0.81831451603104,"FALSE"
"LRRC47",47.0101414061686,-1.39369656606265,2.90533006268777,-0.479703350735068,0.631438344974373,0.81831451603104,"FALSE"
"CEP104",42.4459028921426,-1.45046305615098,2.85449260065378,-0.508133409005431,0.611359787006327,0.81831451603104,"FALSE"
"DFFB",6.487063884367,-1.98400394193479,2.67484149459824,-0.741727667206234,0.458252353251879,0.81831451603104,"FALSE"
"C1orf174",21.9130016026955,-1.38256386101132,2.63594685050952,-0.524503694277477,0.59992825100203,0.81831451603104,"FALSE"
"NPHP4",17.6765848011229,-3.64890155147459,2.54023816476876,-1.43644072515805,0.150876971729977,0.666309022576303,"FALSE"
"KCNAB2",14.3023192978074,-1.25594190473329,2.57086959792409,-0.488528047376431,0.625175864269748,0.81831451603104,"FALSE"
"RPL22",638.685589380626,-1.68966783389865,3.41099023150381,-0.49535991580771,0.620346084205328,0.81831451603104,"FALSE"
"RNF207",2.98630652927465,-0.878517310298627,3.47112590227812,-0.25309289695371,0.800196427643861,0.90571683568481,"FALSE"
"ICMT",118.056061017483,-0.443550015261307,3.93709456129088,-0.112659223281616,0.910300730474573,0.94820623661497,"FALSE"
"GPR153",29.0755850095127,-2.17082838580416,3.1737552905374,-0.683993624926444,0.493979191413644,0.81831451603104,"FALSE"
"ACOT7",14.2305433170552,1.01775583893056,3.01157272323095,0.337948285651446,0.735402159279435,0.867427685898796,"FALSE"
"NOL9",4.78842121541481,2.93620113800832,3.32591106631673,0.882826112743901,0.377330229528244,0.81831451603104,"FALSE"
"ZBTB48",4.23536592223531,5.39772770347949,3.79798730815138,1.42120740948626,0.155256471279915,0.666309022576303,"FALSE"
"KLHL21",52.9538913043914,7.58255117885284,3.58894707103618,2.11275090681782,0.0346220936119884,0.33237513937767,"FALSE"
"PHF13",12.7060977667059,6.98469943350247,3.3586838437104,2.07959419776359,0.0375627696364664,0.33237513937767,"FALSE"
"THAP3",2.91181407153677,4.85686254486427,4.33069687858779,1.12149676623132,0.262076467238691,0.794975271739393,"FALSE"
"DNAJC11",10.0589940653089,6.64723894873807,3.35815171652493,1.97943378079914,0.0477671883052168,0.351430028245524,"FALSE"
"CAMTA1",3.44123481181619,5.0979506050619,4.05615128967663,1.2568442942542,0.208810023222748,0.693788141675582,"FALSE"
"VAMP3",67.7658547557649,9.40107259791997,3.95850179599777,2.37490674058173,0.0175533845898274,0.313285876630995,"FALSE"
"PARK7",31.2476409529354,6.81689350274561,3.35144991230784,2.03401324236155,0.0419502603098031,0.33237513937767,"FALSE"
"ERRFI1",111.972486569096,23.5287920750565,4.23508478880228,5.55568382887339,2.76527015361607e-08,1.03668268797392e-06,"Upregulation"
"AL034417.1",16.6767533188015,7.37742979372739,3.39437814533532,2.17342602322187,0.0297482679913605,0.33237513937767,"FALSE"
"SLC45A1",4.23536592223531,5.39772770347949,3.79798730815138,1.42120740948626,0.155256471279915,0.666309022576303,"FALSE"
"RERE",43.9419214431913,8.77598466308756,3.71782890307391,2.36051332427685,0.0182496627163686,0.313285876630995,"FALSE"
"RPL7P11",18.7944362799192,7.55004706392434,3.41729090699522,2.20936621124919,0.0271491792388777,0.33237513937767,"FALSE"
"RPL7P7",3.7059451819559,5.20492885367466,3.95442732602774,1.31622822334254,0.188097453536688,0.668070266009616,"FALSE"
"ENO1",195.103360069414,9.46551540103188,3.8970722560195,2.42887859890492,0.0151456028161713,0.313285876630995,"FALSE"
"HMGN2P17",6.88246962363238,6.09899938089429,3.45211010563949,1.76674532221054,0.0772708894369857,0.442161200667196,"FALSE"
"GPR157",2.87865732327471,0.706847300302726,3.1909505197718,0.22151622092632,0.824690507824428,0.915636394376068,"FALSE"
"MIR34AHG",5.29420740279414,5.71999626900254,3.60131332095166,1.58830841952153,0.112216614558092,0.577915564974175,"FALSE"
"H6PD",135.00228877125,23.7779375259637,4.28992941004583,5.54273398305397,2.97785085847876e-08,1.03668268797392e-06,"Upregulation"
"SPSB1",14.2943599875442,7.15481554582573,3.37055630071967,2.12274025634821,0.0337756236467741,0.33237513937767,"FALSE"
"AL954705.1",3.44123481181619,5.0979506050619,4.05615128967663,1.2568442942542,0.208810023222748,0.693788141675582,"FALSE"
"PIK3CD",7.14717999377208,6.15352189742527,3.4366982333888,1.79053308714787,0.0733682530705476,0.442161200667196,"FALSE"
"CLSTN1",123.355032485103,23.6606689131701,4.27064424914845,5.54030435054102,3.01946413972985e-08,1.03668268797392e-06,"Upregulation"
"CTNNBIP1",3.7059451819559,5.20492885367466,3.95442732602774,1.31622822334254,0.188097453536688,0.668070266009616,"FALSE"
"LZIC",3.9706555520956,5.30453765463563,3.8695419558628,1.37084381436895,0.170423649288114,0.668070266009616,"FALSE"
"NMNAT1",6.09192731225086,4.41993810527619,3.30229092388026,1.3384460082889,0.180751089527898,0.668070266009616,"FALSE"
