"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"SDF4",556.576732210522,-1.57398748203127,2.17382411287305,-0.724063861795605,0.469026529502238,0.810317186289429,"FALSE"
"B3GALT6",50.5124139552318,-2.36311233238349,2.81964601478006,-0.838088299026365,0.401981114017878,0.810317186289429,"FALSE"
"UBE2J2",72.1607571175456,-1.25146644848064,2.92285962145619,-0.428165088495474,0.668530931691928,0.810317186289429,"FALSE"
"SCNN1D",13.8819661985638,-1.25159865414411,2.8351940308147,-0.44145079332876,0.658886677252901,0.810317186289429,"FALSE"
"ACAP3",161.421066810652,-2.69442387445697,3.12281134644151,-0.862819932279069,0.388236478333865,0.810317186289429,"FALSE"
"PUSL1",18.6666639566216,-2.0703784262443,2.81673633048038,-0.735027415892781,0.462322797457219,0.810317186289429,"FALSE"
"INTS11",143.893105930438,-1.90353362508454,3.12930029770619,-0.608293689959972,0.542992705330693,0.810317186289429,"FALSE"
"AL139287.1",2.54785908936098,-0.590408292815396,2.3763565837156,-0.248451051858661,0.803785437834072,0.878210015411301,"FALSE"
"CPTP",42.231218546982,-1.27658297780529,2.84386498604412,-0.448890149170215,0.653510902580307,0.810317186289429,"FALSE"
"DVL1",136.621237288511,-1.77677787225558,3.11956986377775,-0.569558608988461,0.568977108593407,0.810317186289429,"FALSE"
"MXRA8",1375.62308438815,-1.53926692752754,2.70719582729132,-0.568583518048506,0.569638812656443,0.810317186289429,"FALSE"
"AURKAIP1",88.6794982437279,-1.92222580152824,2.96400372376952,-0.648523409776158,0.516646474787806,0.810317186289429,"FALSE"
"CCNL2",548.490230901031,-1.47880481248411,2.19651808040129,-0.673249551496494,0.500788541744426,0.810317186289429,"FALSE"
"AL391244.1",29.3857793454408,-1.91387225366044,2.81596054499386,-0.679651658139484,0.496725052152641,0.810317186289429,"FALSE"
"MRPL20",66.6742236849875,-1.49229248764729,2.89554389014048,-0.515375537124008,0.606290623494338,0.810317186289429,"FALSE"
"AL391244.3",17.6998562378935,-0.812264657599026,2.85959874026525,-0.284048473711274,0.77637323318334,0.864264542600322,"FALSE"
"ANKRD65",6.34187174551956,-3.5437989380864,2.71118662848872,-1.30710254353157,0.19117788756323,0.651252426257027,"FALSE"
"VWA1",15.119940001694,-2.29443313617163,2.80613828549492,-0.817647921355721,0.413558255685868,0.810317186289429,"FALSE"
"ATAD3B",28.3492523484182,-1.29151472431296,2.83536200426333,-0.45550258569135,0.648747707787838,0.810317186289429,"FALSE"
"ATAD3A",26.1689068769055,-1.54521049391228,2.8360692040311,-0.544842309107253,0.585861977005828,0.810317186289429,"FALSE"
"TMEM240",8.59583509003859,-1.67842404965897,2.74421310164157,-0.611623072805442,0.540787169031439,0.810317186289429,"FALSE"
"SSU72",241.472169161989,-1.34610740175079,3.1051553312987,-0.433507267151043,0.664646287748363,0.810317186289429,"FALSE"
"FNDC10",16.3266218064733,-3.56428035798504,2.7880821692035,-1.27839860580697,0.201108915391359,0.659190333782788,"FALSE"
